"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","8","","0","0","","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Informações de direção","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Datas de lançamento","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Carregamento da página","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Conteúdo da base de dados","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Estrutura da interface","0"
"0","Test Suite: Database","1","Informação sobre filme","0","0","Metadados da página","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Análise de dados","0"
"0","Test Suite: Database","0","Informação sobre filme","1","0","Links externos","0"
